M4id,category,Frequency,Horizon,SP,StartingDate
D1,Macro,1,14,Daily,03-01-94 12:00
D2,Macro,1,14,Daily,02-01-95 12:00
D3,Macro,1,14,Daily,05-01-06 12:00
D4,Macro,1,14,Daily,30-05-96 12:00
D5,Macro,1,14,Daily,03-01-97 12:00
D6,Macro,1,14,Daily,03-01-97 12:00
D7,Macro,1,14,Daily,03-01-97 12:00
D8,Macro,1,14,Daily,20-03-13 12:00
D9,Macro,1,14,Daily,20-03-13 12:00
D10,Macro,1,14,Daily,03-07-14 12:00
D11,Macro,1,14,Daily,01-07-11 12:00
D12,Macro,1,14,Daily,17-11-08 12:00
D13,Macro,1,14,Daily,17-11-08 12:00
D14,Macro,1,14,Daily,03-01-00 12:00
D15,Macro,1,14,Daily,03-01-00 12:00
D16,Macro,1,14,Daily,03-01-00 12:00
D17,Macro,1,14,Daily,19-11-08 12:00
D18,Macro,1,14,Daily,04-01-00 12:00
D19,Macro,1,14,Daily,04-01-00 12:00
D20,Macro,1,14,Daily,04-01-00 12:00
D21,Macro,1,14,Daily,04-01-00 12:00
D22,Macro,1,14,Daily,01-07-14 12:00
D23,Macro,1,14,Daily,01-07-14 12:00
D24,Macro,1,14,Daily,01-07-14 12:00
D25,Macro,1,14,Daily,01-07-14 12:00
D26,Macro,1,14,Daily,01-07-14 12:00
D27,Macro,1,14,Daily,01-07-14 12:00
D28,Macro,1,14,Daily,17-10-13 12:00
D29,Macro,1,14,Daily,03-01-00 12:00
D30,Macro,1,14,Daily,17-10-13 12:00
D31,Macro,1,14,Daily,30-06-11 12:00
D32,Macro,1,14,Daily,30-06-11 12:00
D33,Macro,1,14,Daily,17-11-08 12:00
D34,Macro,1,14,Daily,02-01-15 12:00
D35,Macro,1,14,Daily,02-01-15 12:00
D36,Macro,1,14,Daily,02-01-15 12:00
D37,Macro,1,14,Daily,18-02-14 12:00
D38,Macro,1,14,Daily,18-02-14 12:00
D39,Macro,1,14,Daily,18-02-14 12:00
D40,Macro,1,14,Daily,18-02-14 12:00
D41,Macro,1,14,Daily,26-02-14 12:00
D42,Macro,1,14,Daily,26-02-14 12:00
D43,Macro,1,14,Daily,18-03-13 12:00
D44,Macro,1,14,Daily,24-06-13 12:00
D45,Macro,1,14,Daily,14-01-13 12:00
D46,Macro,1,14,Daily,14-01-13 12:00
D47,Macro,1,14,Daily,14-01-13 12:00
D48,Macro,1,14,Daily,24-06-13 12:00
D49,Macro,1,14,Daily,24-06-13 12:00
D50,Macro,1,14,Daily,14-01-13 12:00
D51,Macro,1,14,Daily,14-01-13 12:00
D52,Macro,1,14,Daily,18-03-13 12:00
D53,Macro,1,14,Daily,14-01-13 12:00
D54,Macro,1,14,Daily,14-01-13 12:00
D55,Macro,1,14,Daily,14-01-13 12:00
D56,Macro,1,14,Daily,14-01-13 12:00
D57,Macro,1,14,Daily,18-03-13 12:00
D58,Macro,1,14,Daily,18-03-13 12:00
D59,Macro,1,14,Daily,11-06-07 12:00
D60,Macro,1,14,Daily,14-08-06 12:00
D61,Macro,1,14,Daily,16-06-08 12:00
D62,Macro,1,14,Daily,14-01-08 12:00
D63,Macro,1,14,Daily,16-04-07 12:00
D64,Macro,1,14,Daily,12-02-07 12:00
D65,Macro,1,14,Daily,14-04-08 12:00
D66,Macro,1,14,Daily,11-02-08 12:00
D67,Macro,1,14,Daily,13-08-07 12:00
D68,Macro,1,14,Daily,12-11-07 12:00
D69,Macro,1,14,Daily,17-04-06 12:00
D70,Macro,1,14,Daily,12-06-06 12:00
D71,Macro,1,14,Daily,14-01-13 12:00
D72,Macro,1,14,Daily,18-03-13 12:00
D73,Macro,1,14,Daily,14-01-13 12:00
D74,Macro,1,14,Daily,14-01-13 12:00
D75,Macro,1,14,Daily,14-01-13 12:00
D76,Macro,1,14,Daily,14-01-13 12:00
D77,Macro,1,14,Daily,14-01-13 12:00
D78,Macro,1,14,Daily,14-01-13 12:00
D79,Macro,1,14,Daily,14-01-13 12:00
D80,Macro,1,14,Daily,14-01-13 12:00
D81,Macro,1,14,Daily,14-01-13 12:00
D82,Macro,1,14,Daily,18-03-13 12:00
