M4id,category,Frequency,Horizon,SP,StartingDate
M1,Macro,12,18,Monthly,01-06-76 12:00
M2,Macro,12,18,Monthly,01-06-76 12:00
M3,Macro,12,18,Monthly,01-06-76 12:00
M4,Macro,12,18,Monthly,01-09-08 12:00
M5,Macro,12,18,Monthly,01-03-06 12:00
M6,Macro,12,18,Monthly,01-01-60 12:00
M7,Macro,12,18,Monthly,01-03-06 12:00
M8,Macro,12,18,Monthly,01-03-06 12:00
M9,Macro,12,18,Monthly,01-01-47 12:00
M10,Macro,12,18,Monthly,01-01-85 12:00
M11,Macro,12,18,Monthly,01-01-64 12:00
M12,Macro,12,18,Monthly,01-01-39 12:00
M13,Macro,12,18,Monthly,01-01-39 12:00
M14,Macro,12,18,Monthly,01-01-55 12:00
M15,Macro,12,18,Monthly,01-01-55 12:00
M16,Macro,12,18,Monthly,01-01-55 12:00
M17,Macro,12,18,Monthly,01-01-55 12:00
M18,Macro,12,18,Monthly,01-01-55 12:00
M19,Macro,12,18,Monthly,01-12-00 12:00
M20,Macro,12,18,Monthly,01-12-00 12:00
M21,Macro,12,18,Monthly,01-12-00 12:00
M22,Macro,12,18,Monthly,01-12-00 12:00
M23,Macro,12,18,Monthly,01-12-00 12:00
M24,Macro,12,18,Monthly,01-01-59 12:00
M25,Macro,12,18,Monthly,01-01-59 12:00
M26,Macro,12,18,Monthly,01-02-59 12:00
M27,Macro,12,18,Monthly,01-02-59 12:00
M28,Macro,12,18,Monthly,01-01-85 12:00
M29,Macro,12,18,Monthly,01-01-85 12:00
M30,Macro,12,18,Monthly,01-01-85 12:00
M31,Macro,12,18,Monthly,01-01-85 12:00
M32,Macro,12,18,Monthly,01-01-85 12:00
M33,Macro,12,18,Monthly,01-01-85 12:00
M34,Macro,12,18,Monthly,01-01-85 12:00
M35,Macro,12,18,Monthly,01-01-85 12:00
M36,Macro,12,18,Monthly,01-01-85 12:00
M37,Macro,12,18,Monthly,01-01-85 12:00
M38,Macro,12,18,Monthly,01-01-85 12:00
M39,Macro,12,18,Monthly,01-01-85 12:00
M40,Macro,12,18,Monthly,01-01-85 12:00
M41,Macro,12,18,Monthly,01-01-02 12:00
M42,Macro,12,18,Monthly,01-01-02 12:00
M43,Macro,12,18,Monthly,01-01-02 12:00
M44,Macro,12,18,Monthly,01-01-46 12:00
M45,Macro,12,18,Monthly,01-01-60 12:00
M46,Macro,12,18,Monthly,01-01-60 12:00
M47,Macro,12,18,Monthly,01-01-60 12:00
M48,Macro,12,18,Monthly,01-01-59 12:00
M49,Macro,12,18,Monthly,01-01-59 12:00
M50,Macro,12,18,Monthly,01-01-59 12:00
M51,Macro,12,18,Monthly,01-01-68 12:00
M52,Macro,12,18,Monthly,01-01-75 12:00
M53,Macro,12,18,Monthly,01-01-63 12:00
M54,Macro,12,18,Monthly,01-01-63 12:00
M55,Macro,12,18,Monthly,01-01-63 12:00
M56,Macro,12,18,Monthly,01-06-04 12:00
M57,Macro,12,18,Monthly,01-05-68 12:00
M58,Macro,12,18,Monthly,01-06-04 12:00
M59,Macro,12,18,Monthly,01-06-04 12:00
M60,Macro,12,18,Monthly,01-05-68 12:00
M61,Macro,12,18,Monthly,01-07-01 12:00
M62,Macro,12,18,Monthly,01-07-01 12:00
M63,Macro,12,18,Monthly,01-07-01 12:00
M64,Macro,12,18,Monthly,01-06-04 12:00
M65,Macro,12,18,Monthly,01-06-04 12:00
M66,Macro,12,18,Monthly,01-06-04 12:00
M67,Macro,12,18,Monthly,01-06-04 12:00
M68,Macro,12,18,Monthly,01-06-04 12:00
M69,Macro,12,18,Monthly,01-06-04 12:00
M70,Macro,12,18,Monthly,01-05-68 12:00
M71,Macro,12,18,Monthly,01-05-68 12:00
M72,Macro,12,18,Monthly,01-06-04 12:00
M73,Macro,12,18,Monthly,01-06-04 12:00
M74,Macro,12,18,Monthly,01-06-04 12:00
M75,Macro,12,18,Monthly,01-06-04 12:00
M76,Macro,12,18,Monthly,01-05-68 12:00
M77,Macro,12,18,Monthly,01-05-68 12:00
M78,Macro,12,18,Monthly,01-06-04 12:00
M79,Macro,12,18,Monthly,01-06-04 12:00
M80,Macro,12,18,Monthly,01-05-68 12:00
M81,Macro,12,18,Monthly,01-06-04 12:00
M82,Macro,12,18,Monthly,01-06-04 12:00
M83,Macro,12,18,Monthly,01-09-04 12:00
M84,Macro,12,18,Monthly,01-09-04 12:00
M85,Macro,12,18,Monthly,01-09-04 12:00
M86,Macro,12,18,Monthly,01-01-00 12:00
M87,Macro,12,18,Monthly,01-01-00 12:00
M88,Macro,12,18,Monthly,01-01-00 12:00
M89,Macro,12,18,Monthly,01-01-00 12:00
M90,Macro,12,18,Monthly,01-01-00 12:00
M91,Macro,12,18,Monthly,01-12-97 12:00
M92,Macro,12,18,Monthly,01-12-77 12:00
M93,Macro,12,18,Monthly,01-01-57 12:00
M94,Macro,12,18,Monthly,01-01-95 12:00
M95,Macro,12,18,Monthly,01-01-95 12:00
M96,Macro,12,18,Monthly,01-01-95 12:00
M97,Macro,12,18,Monthly,01-01-95 12:00
M98,Macro,12,18,Monthly,01-01-95 12:00
M99,Macro,12,18,Monthly,01-01-95 12:00
M100,Macro,12,18,Monthly,01-01-91 12:00
M101,Macro,12,18,Monthly,01-01-95 12:00
M102,Macro,12,18,Monthly,01-01-95 12:00
M103,Macro,12,18,Monthly,01-08-01 12:00
M104,Macro,12,18,Monthly,01-12-03 12:00
M105,Macro,12,18,Monthly,01-06-80 12:00
M106,Macro,12,18,Monthly,01-06-09 12:00
M107,Macro,12,18,Monthly,01-06-01 12:00
M108,Macro,12,18,Monthly,01-06-01 12:00
M109,Macro,12,18,Monthly,01-12-09 12:00
