M4id,category,Frequency,Horizon,SP,StartingDate
Q1,Macro,4,8,Quarterly,01-01-05 12:00
Q2,Macro,4,8,Quarterly,01-01-05 12:00
Q3,Macro,4,8,Quarterly,01-01-05 12:00
Q4,Macro,4,8,Quarterly,01-01-05 12:00
Q5,Macro,4,8,Quarterly,01-01-00 12:00
Q6,Macro,4,8,Quarterly,01-01-00 12:00
Q7,Macro,4,8,Quarterly,01-01-00 12:00
Q8,Macro,4,8,Quarterly,01-01-00 12:00
Q9,Macro,4,8,Quarterly,01-01-00 12:00
Q10,Macro,4,8,Quarterly,01-01-00 12:00
Q11,Macro,4,8,Quarterly,01-01-00 12:00
Q12,Macro,4,8,Quarterly,01-01-00 12:00
Q13,Macro,4,8,Quarterly,01-01-00 12:00
Q14,Macro,4,8,Quarterly,01-01-00 12:00
Q15,Macro,4,8,Quarterly,01-01-00 12:00
Q16,Macro,4,8,Quarterly,01-01-00 12:00
Q17,Macro,4,8,Quarterly,01-01-00 12:00
Q18,Macro,4,8,Quarterly,01-01-00 12:00
Q19,Macro,4,8,Quarterly,01-01-00 12:00
Q20,Macro,4,8,Quarterly,01-01-00 12:00
Q21,Macro,4,8,Quarterly,01-01-00 12:00
Q22,Macro,4,8,Quarterly,01-01-00 12:00
Q23,Macro,4,8,Quarterly,01-01-79 12:00
Q24,Macro,4,8,Quarterly,01-01-00 12:00
Q25,Macro,4,8,Quarterly,01-01-00 12:00
Q26,Macro,4,8,Quarterly,01-01-00 12:00
Q27,Macro,4,8,Quarterly,01-01-00 12:00
Q28,Macro,4,8,Quarterly,01-01-00 12:00
Q29,Macro,4,8,Quarterly,01-01-00 12:00
Q30,Macro,4,8,Quarterly,01-01-00 12:00
Q31,Macro,4,8,Quarterly,01-01-00 12:00
Q32,Macro,4,8,Quarterly,01-01-00 12:00
Q33,Macro,4,8,Quarterly,01-01-00 12:00
Q34,Macro,4,8,Quarterly,01-01-00 12:00
Q35,Macro,4,8,Quarterly,01-01-00 12:00
Q36,Macro,4,8,Quarterly,01-01-00 12:00
Q37,Macro,4,8,Quarterly,01-01-00 12:00
Q38,Macro,4,8,Quarterly,01-01-00 12:00
Q39,Macro,4,8,Quarterly,01-01-00 12:00
Q40,Macro,4,8,Quarterly,01-01-00 12:00
Q41,Macro,4,8,Quarterly,01-01-00 12:00
Q42,Macro,4,8,Quarterly,01-01-00 12:00
Q43,Macro,4,8,Quarterly,01-01-00 12:00
Q44,Macro,4,8,Quarterly,01-01-00 12:00
Q45,Macro,4,8,Quarterly,01-01-00 12:00
Q46,Macro,4,8,Quarterly,01-01-00 12:00
Q47,Macro,4,8,Quarterly,01-01-00 12:00
Q48,Macro,4,8,Quarterly,01-01-00 12:00
Q49,Macro,4,8,Quarterly,01-01-00 12:00
Q50,Macro,4,8,Quarterly,01-01-00 12:00
Q51,Macro,4,8,Quarterly,01-01-00 12:00
Q52,Macro,4,8,Quarterly,01-01-00 12:00
Q53,Macro,4,8,Quarterly,01-01-00 12:00
Q54,Macro,4,8,Quarterly,01-01-00 12:00
