M4id,category,Frequency,Horizon,SP,StartingDate
W1,Other,1,13,Weekly,08-01-75 12:00
W2,Other,1,13,Weekly,04-01-84 12:00
W3,Other,1,13,Weekly,06-01-75 12:00
W4,Other,1,13,Weekly,07-01-67 12:00
W5,Other,1,13,Weekly,08-02-86 12:00
W6,Other,1,13,Weekly,15-02-86 12:00
W7,Other,1,13,Weekly,15-02-86 12:00
W8,Other,1,13,Weekly,28-09-85 12:00
W9,Other,1,13,Weekly,15-02-86 12:00
W10,Other,1,13,Weekly,01-01-99 12:00
W11,Other,1,13,Weekly,01-01-99 12:00
W12,Other,1,13,Weekly,17-08-06 12:00
W13,Macro,1,13,Weekly,18-12-02 12:00
W14,Macro,1,13,Weekly,18-12-02 12:00
W15,Macro,1,13,Weekly,18-12-02 12:00
W16,Macro,1,13,Weekly,18-12-02 12:00
W17,Macro,1,13,Weekly,18-12-02 12:00
W18,Macro,1,13,Weekly,18-12-02 12:00
W19,Macro,1,13,Weekly,15-02-86 12:00
W20,Macro,1,13,Weekly,15-02-86 12:00
W21,Macro,1,13,Weekly,15-02-86 12:00
W22,Macro,1,13,Weekly,11-01-86 12:00
W23,Macro,1,13,Weekly,15-02-86 12:00
W24,Macro,1,13,Weekly,15-02-86 12:00
W25,Macro,1,13,Weekly,15-02-86 12:00
W26,Macro,1,13,Weekly,15-02-86 12:00
W27,Macro,1,13,Weekly,15-02-86 12:00
W28,Macro,1,13,Weekly,15-02-86 12:00
W29,Macro,1,13,Weekly,15-02-86 12:00
W30,Macro,1,13,Weekly,15-02-86 12:00
W31,Macro,1,13,Weekly,15-02-86 12:00
W32,Macro,1,13,Weekly,15-02-86 12:00
W33,Macro,1,13,Weekly,15-02-86 12:00
W34,Macro,1,13,Weekly,28-09-85 12:00
W35,Macro,1,13,Weekly,15-02-86 12:00
W36,Macro,1,13,Weekly,01-01-99 12:00
W37,Macro,1,13,Weekly,04-01-08 12:00
W38,Macro,1,13,Weekly,04-01-08 12:00
W39,Macro,1,13,Weekly,05-01-90 12:00
W40,Macro,1,13,Weekly,05-01-90 12:00
W41,Macro,1,13,Weekly,08-01-99 12:00
W42,Macro,1,13,Weekly,08-01-99 12:00
W43,Macro,1,13,Weekly,08-01-99 12:00
W44,Macro,1,13,Weekly,05-01-90 12:00
W45,Macro,1,13,Weekly,28-01-94 12:00
W46,Macro,1,13,Weekly,08-01-99 12:00
W47,Macro,1,13,Weekly,28-01-94 12:00
W48,Macro,1,13,Weekly,28-01-94 12:00
W49,Macro,1,13,Weekly,08-01-99 12:00
W50,Macro,1,13,Weekly,08-01-99 12:00
W51,Macro,1,13,Weekly,08-01-99 12:00
W52,Macro,1,13,Weekly,08-01-99 12:00
