M4id,category,Frequency,Horizon,SP,StartingDate
Y1,Macro,1,6,Yearly,01-01-79 12:00
Y2,Macro,1,6,Yearly,01-01-79 12:00
Y3,Macro,1,6,Yearly,01-01-79 12:00
Y4,Macro,1,6,Yearly,01-01-79 12:00
Y5,Macro,1,6,Yearly,01-01-79 12:00
Y6,Macro,1,6,Yearly,01-01-89 12:00
Y7,Macro,1,6,Yearly,01-01-89 12:00
Y8,Macro,1,6,Yearly,01-01-89 12:00
Y9,Macro,1,6,Yearly,01-01-89 12:00
Y10,Macro,1,6,Yearly,01-01-89 12:00
Y11,Macro,1,6,Yearly,01-01-89 12:00
Y12,Macro,1,6,Yearly,01-01-89 12:00
Y13,Macro,1,6,Yearly,01-01-89 12:00
Y14,Macro,1,6,Yearly,01-01-89 12:00
Y15,Macro,1,6,Yearly,01-01-89 12:00
Y16,Macro,1,6,Yearly,01-01-89 12:00
Y17,Macro,1,6,Yearly,01-01-89 12:00
Y18,Macro,1,6,Yearly,01-01-89 12:00
Y19,Macro,1,6,Yearly,01-01-89 12:00
Y20,Macro,1,6,Yearly,01-01-89 12:00
Y21,Macro,1,6,Yearly,01-01-89 12:00
Y22,Macro,1,6,Yearly,01-01-89 12:00
Y23,Macro,1,6,Yearly,01-01-89 12:00
Y24,Macro,1,6,Yearly,01-01-89 12:00
Y25,Macro,1,6,Yearly,01-01-89 12:00
Y26,Macro,1,6,Yearly,01-01-89 12:00
Y27,Macro,1,6,Yearly,01-01-89 12:00
Y28,Macro,1,6,Yearly,01-01-89 12:00
Y29,Macro,1,6,Yearly,01-01-89 12:00
Y30,Macro,1,6,Yearly,01-01-89 12:00
Y31,Macro,1,6,Yearly,01-01-89 12:00
Y32,Macro,1,6,Yearly,01-01-89 12:00
Y33,Macro,1,6,Yearly,01-01-89 12:00
Y34,Macro,1,6,Yearly,01-01-89 12:00
Y35,Macro,1,6,Yearly,01-01-89 12:00
Y36,Macro,1,6,Yearly,01-01-89 12:00
Y37,Macro,1,6,Yearly,01-01-89 12:00
Y38,Macro,1,6,Yearly,01-01-67 12:00
Y39,Macro,1,6,Yearly,01-01-29 12:00
Y40,Macro,1,6,Yearly,01-01-29 12:00
Y41,Macro,1,6,Yearly,01-01-29 12:00
Y42,Macro,1,6,Yearly,01-01-60 12:00
Y43,Macro,1,6,Yearly,01-01-59 12:00
Y44,Macro,1,6,Yearly,01-01-59 12:00
Y45,Macro,1,6,Yearly,01-01-59 12:00
Y46,Macro,1,6,Yearly,01-01-59 12:00
Y47,Macro,1,6,Yearly,01-01-59 12:00
Y48,Macro,1,6,Yearly,01-01-29 12:00
Y49,Macro,1,6,Yearly,01-01-29 12:00
Y50,Macro,1,6,Yearly,01-01-29 12:00
Y51,Macro,1,6,Yearly,01-01-29 12:00
Y52,Macro,1,6,Yearly,01-01-48 12:00
Y53,Macro,1,6,Yearly,01-01-48 12:00
Y54,Macro,1,6,Yearly,01-01-48 12:00
Y55,Macro,1,6,Yearly,01-01-48 12:00
Y56,Macro,1,6,Yearly,01-01-48 12:00
Y57,Macro,1,6,Yearly,01-01-48 12:00
Y58,Macro,1,6,Yearly,01-01-72 12:00
Y59,Macro,1,6,Yearly,01-01-29 12:00
Y60,Macro,1,6,Yearly,01-01-78 12:00
Y61,Macro,1,6,Yearly,01-01-29 12:00
Y62,Macro,1,6,Yearly,01-01-46 12:00
Y63,Macro,1,6,Yearly,01-01-67 12:00
Y64,Macro,1,6,Yearly,01-01-67 12:00
Y65,Macro,1,6,Yearly,01-01-72 12:00
Y66,Macro,1,6,Yearly,01-01-87 12:00
Y67,Macro,1,6,Yearly,01-01-59 12:00
Y68,Macro,1,6,Yearly,01-01-29 12:00
Y69,Macro,1,6,Yearly,01-01-87 12:00
Y70,Macro,1,6,Yearly,01-01-59 12:00
Y71,Macro,1,6,Yearly,01-01-59 12:00
Y72,Macro,1,6,Yearly,01-01-59 12:00
Y73,Macro,1,6,Yearly,01-01-59 12:00
Y74,Macro,1,6,Yearly,01-01-59 12:00
Y75,Macro,1,6,Yearly,01-01-59 12:00
Y76,Macro,1,6,Yearly,01-01-59 12:00
Y77,Macro,1,6,Yearly,01-01-59 12:00
Y78,Macro,1,6,Yearly,01-01-46 12:00
Y79,Macro,1,6,Yearly,01-01-46 12:00
Y80,Macro,1,6,Yearly,01-01-45 12:00
Y81,Macro,1,6,Yearly,01-01-46 12:00
Y82,Macro,1,6,Yearly,01-01-46 12:00
Y83,Macro,1,6,Yearly,01-01-46 12:00
Y84,Macro,1,6,Yearly,01-01-10 12:00
Y85,Macro,1,6,Yearly,1866-01-01 12:00:00
Y86,Macro,1,6,Yearly,1866-01-01 12:00:00
Y87,Macro,1,6,Yearly,1880-01-01 12:00:00
Y88,Macro,1,6,Yearly,1875-01-01 12:00:00
Y89,Macro,1,6,Yearly,1869-01-01 12:00:00
Y90,Macro,1,6,Yearly,1855-01-01 12:00:00
Y91,Macro,1,6,Yearly,1820-01-01 12:00:00
